AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.044406
AGID00111	913	sc-23957	Old	1433EPSILON	0.21993
AGID00101	883	sc-1019	Old	1433ZETA	-0.81063
AGID00001	2	9452	Old	4EBP1	0.056314
AGID00002	3	9456	Old	4EBP1_pS65	0.29332
AGID00003	6	9459	Old	4EBP1_pT37T46	1.8844
AGID00443	8	9455	Old	4EBP1_pT70	0.015825
AGID00120	985	4937	Old	53BP1	-0.64026
AGID00004	13	3661	Old	ACC_pS79	-1.3259
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.546
AGID00408	2372	3658	Set163	AceCS1	-1.55923547516099
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	2.1691
AGID00404	2367	9189	Set163	ACSL1	-0.910015006454933
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.33959
AGID00186	1198	ab88574	Old	ADAR1	-0.58252
AGID00146	1084	4691	Old	AKT	-0.49769
AGID00028	230	9271	Old	AKT_pS473	1.2554
AGID00170	1154	2965	Old	AKT_pT308	0.34551
AGID00316	1800	3063	Set163	Akt2	-0.934729965100039
AGID00347	2009	8599	Set163	Akt2_pS474	0.474994472645036
AGID02215	2577	ab195377	Set163	ALKBH5	-0.928750176891149
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	0.473389190646863
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	0.545499940077429
AGID00006	39	2532	Old	AMPKALPHA	-0.69363
AGID00007	40	2535	Old	AMPKALPHA_pT172	-1.5837
AGID00193	1208	610066	Old	ANNEXIN1	0.098362
AGID00166	1142	610668	Old	ANNEXINVII	-0.35669
AGID00371	756	1852-1/ab52615	Old	AR	-0.48875
AGID00194	1217	4432	Old	ARAF	-0.41374
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.020057
AGID00260	1053	sc-32761	Old	ARID1A	-0.40177
AGID00264	1560	HPA029318	Old	ASNS	0.31152
AGID00276	1612	3415	Set163	Atg3	0.121314969978063
AGID00309	1775	13507	Set163	Atg4B	0.908914516313297
AGID00310	1776	12994	Set163	Atg5	-1.19882505802508
AGID00277	1613	8558	Set163	Atg7	-0.0875949669455441
AGID00242	1363	2873	Old	ATM	-1.1238
AGID02142	2447	13050	Set163	ATM_pS1981	0.626139889339058
AGID00217	1289	ab14748	Set163	ATP5A	-0.0257856103246575
AGID02145	2451	PA5-43776	Set163	ATP5H	-0.324979990573198
AGID02150	2456	13934	Set163	ATR	-0.00672800188832927
AGID00315	1795	ab178407	Set163	ATR_pS428	0.590598780581192
AGID00268	1569	ab97508	Set163	ATRX	-0.721627604715518
AGID00391	2332	14475	Set163	Aurora-A	-0.628584966945545
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	-0.27397495703354
AGID02195	2512	MA5-27890	Set163	Aurora-B	0.405958727070261
AGID00215	1271	8661	Old	AXL	-0.46036
AGID02143	2449	8457	Set163	b-Actin	0.0355547673018447
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	0.166920038123095
AGID00301	1725	14058	Set163	B7-H3	0.66597411844695
AGID00302	1726	14572	Set163	B7-H4	0.0932996983423746
AGID00008	63	9291	Old	BAD_pS112	0.37146
AGID00009	71	1542-1/ab32371	Old	BAK	-0.069679
AGID00192	1207	sc-28383	Old	BAP1C4	-0.91438
AGID00010	73	2772	Old	BAX	0.28456
AGID00433	80	M0887	Old	BCL2	-0.43404
AGID00219	1299	PAB8528	Old	BCL2A1	0.372
AGID00012	84	1018-1	Old	BCLXL	0.55246
AGID00377	87	sc-10086	Old	BECLIN	0.053471
AGID00011	75	9562	Old	BETACATENIN	-0.11395
AGID00013	88	1008-1/ab32060	Old	BID	0.12273
AGID00180	90	1036-1/ab32158	Old	BIM	-0.51066
AGID00221	1311	610978	Set163	BiP-GRP78	0.268049477089841
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	0.489555066703955
AGID00355	92	1647/ab33899	Old	BRAF	-0.65085
AGID00014	94	2696	Old	BRAF_pS445	-0.55527
AGID00445	761	9012	Old	BRCA2	-0.32386
AGID00266	1567	13440	Old	BRD4	-0.93561
AGID00168	1146	2865	Set163	c-Abl_pY412	0.0438343010911612
AGID00278	1615	3130	Set163	c-IAP2	-0.237450075726327
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.043928
AGID00429	2407	2679	Set163	Calnexin	0.157594779570548
AGID00176	1165	9496	Set163	Caspase-8-cleaved	-0.0759200487975599
AGID00623	111	9665	Old	CASPASE3	0.098275
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.84621
AGID00118	951	9746	Old	CASPASE8	0.51877
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.84692
AGID00358	2100	ab76000	Set163	CD134	0.135023595537003
AGID00303	1737	826701	Set163	CD171	2.11165501052717
AGID00410	125	1632-1/ab78237	Old	CD20	0.10188
AGID00220	1308	ab28340	Old	CD26	-0.42836
AGID00191	1206	610467	Set163	CD29	0.397374680797089
AGID00017	127	M0823	Old	CD31	0.64735
AGID00369	2174	ab108403	Set163	CD38	0.653005043867552
AGID00359	2104	ab133616	Set163	CD4	-1.06072622471141
AGID00411	1398	3570	Set163	CD44	2.22903991169305
AGID00237	1352	M070101-2	Set163	CD45	0.0763448677388608
AGID00115	937	611016	Old	CD49B	0.61694
AGID02171	2482	91882	Set163	CD86	-0.48954497762001
AGID00329	1873	4688	Set163	cdc25C	-0.139789955118721
AGID00227	1332	4651	Set163	Cdc42	0.470584814713106
AGID00422	2396	3387	Set163	Cdc6	-0.401555081938658
AGID00501	1007	9112	Old	CDK1	-0.048978
AGID00293	1658	ab32384	Set163	CDK1_pT14	-0.918334959667498
AGID00314	1783	4539	Old	CDK1_pY15	-0.3376
