AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.22721
AGID00111	913	sc-23957	Old	1433EPSILON	-0.2946
AGID00101	883	sc-1019	Old	1433ZETA	0.45156
AGID00001	2	9452	Old	4EBP1	0.46865
AGID00002	3	9456	Old	4EBP1_pS65	0.174
AGID00003	6	9459	Old	4EBP1_pT37T46	0.030622
AGID00443	8	9455	Old	4EBP1_pT70	-0.12128
AGID00120	985	4937	Old	53BP1	-0.50112
AGID00004	13	3661	Old	ACC_pS79	-0.19958
AGID00005	14	1768-1/ab45174	Old	ACC1	0.24606
AGID00408	2372	3658	Set165	AceCS1	-0.232702485055838
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.14204
AGID00404	2367	9189	Set165	ACSL1	-0.303352443701188
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.27022
AGID00186	1198	ab88574	Old	ADAR1	-0.21309
AGID00146	1084	4691	Old	AKT	-0.0040413
AGID00028	230	9271	Old	AKT_pS473	1.1879
AGID00170	1154	2965	Old	AKT_pT308	1.7193
AGID00316	1800	3063	Set165	Akt2	-0.290691248938342
AGID00347	2009	8599	Set165	Akt2_pS474	0.954532640882006
AGID02215	2577	ab195377	Set165	ALKBH5	-0.403354887170562
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set165	Ambra1_pS52	0.0878540814725463
AGID00236	1351	ab129081	Set165	AMPK-a2_pS345	0.243291391118594
AGID00006	39	2532	Old	AMPKALPHA	-0.037167
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.33095
AGID00193	1208	610066	Old	ANNEXIN1	0.88107
AGID00166	1142	610668	Old	ANNEXINVII	-0.17227
AGID00371	756	1852-1/ab52615	Old	AR	-0.48309
AGID00194	1217	4432	Old	ARAF	-0.016012
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.11834
AGID00260	1053	sc-32761	Old	ARID1A	-0.29233
AGID00264	1560	HPA029318	Old	ASNS	0.24198
AGID00276	1612	3415	Set165	Atg3	0.401310743116929
AGID00309	1775	13507	Set165	Atg4B	0.176503418074293
AGID00310	1776	12994	Set165	Atg5	-0.45015062273779
AGID00277	1613	8558	Set165	Atg7	-0.251389043436728
AGID00242	1363	2873	Old	ATM	-0.43149
AGID02142	2447	13050	Set165	ATM_pS1981	1.24074344254976
AGID00217	1289	ab14748	Set165	ATP5A	-0.438459700477008
AGID02145	2451	PA5-43776	Set165	ATP5H	-0.562385044910046
AGID02150	2456	13934	Set165	ATR	0.132841620552578
AGID00315	1795	ab178407	Set165	ATR_pS428	0.0992142573161486
AGID00268	1569	ab97508	Set165	ATRX	0.119022308070153
AGID00391	2332	14475	Set165	Aurora-A	-0.158233584426352
AGID00392	2333	2914	Set165	Aurora-ABC_pT288_pT232_pT198	-0.0942391454693613
AGID02195	2512	MA5-27890	Set165	Aurora-B	-0.176809652271266
AGID00215	1271	8661	Old	AXL	-0.35232
AGID02143	2449	8457	Set165	b-Actin	-0.0852707937049894
AGID00179	1170	9565	Set165	b-Catenin_pT41_S45	-0.711444258801747
AGID00301	1725	14058	Set165	B7-H3	0.0375031002742328
AGID00302	1726	14572	Set165	B7-H4	-0.136466542508184
AGID00008	63	9291	Old	BAD_pS112	0.34929
AGID00009	71	1542-1/ab32371	Old	BAK	0.7808
AGID00192	1207	sc-28383	Old	BAP1C4	0.043494
AGID00010	73	2772	Old	BAX	0.16873
AGID00433	80	M0887	Old	BCL2	-0.41835
AGID00219	1299	PAB8528	Old	BCL2A1	-0.090413
AGID00012	84	1018-1	Old	BCLXL	0.096011
AGID00377	87	sc-10086	Old	BECLIN	-0.080483
AGID00011	75	9562	Old	BETACATENIN	0.99207
AGID00013	88	1008-1/ab32060	Old	BID	-0.063389
AGID00180	90	1036-1/ab32158	Old	BIM	0.088246
AGID00221	1311	610978	Set165	BiP-GRP78	0.0115748085665567
AGID00373	2194	07-507	Set165	BMK1-Erk5_pT218_Y220	-0.0376661211854924
AGID00355	92	1647/ab33899	Old	BRAF	0.144
AGID00014	94	2696	Old	BRAF_pS445	0.063854
AGID00445	761	9012	Old	BRCA2	0.081074
AGID00266	1567	13440	Old	BRD4	0.22948
AGID00168	1146	2865	Set165	c-Abl_pY412	0.236245924646033
AGID00278	1615	3130	Set165	c-IAP2	-0.06795599190081
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.059216
AGID00429	2407	2679	Set165	Calnexin	-0.276675914587724
AGID00176	1165	9496	Set165	Caspase-8-cleaved	-0.399295858594802
AGID00623	111	9665	Old	CASPASE3	-0.38062
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.40021
AGID00118	951	9746	Old	CASPASE8	-0.039405
AGID00537	935	551246	Old	CASPASE9	-0.014275
AGID00016	114	3238	Old	CAVEOLIN1	2.299
AGID00358	2100	ab76000	Set165	CD134	-0.206483165010056
AGID00303	1737	826701	Set165	CD171	-0.646920910304019
AGID00410	125	1632-1/ab78237	Old	CD20	-0.25806
AGID00220	1308	ab28340	Old	CD26	-0.22516
AGID00191	1206	610467	Set165	CD29	0.177395700341638
AGID00017	127	M0823	Old	CD31	0.30903
AGID00369	2174	ab108403	Set165	CD38	0.0820440073977469
AGID00359	2104	ab133616	Set165	CD4	-0.337952181693117
AGID00411	1398	3570	Set165	CD44	0.333733999432981
AGID00237	1352	M070101-2	Set165	CD45	0.444889486242376
AGID00115	937	611016	Old	CD49B	0.64309
AGID02171	2482	91882	Set165	CD86	0.199363371698157
