AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.59483
AGID00111	913	sc-23957	Old	1433EPSILON	-0.10166
AGID00101	883	sc-1019	Old	1433ZETA	-0.47367
AGID00001	2	9452	Old	4EBP1	0.19546
AGID00002	3	9456	Old	4EBP1_pS65	0.049176
AGID00003	6	9459	Old	4EBP1_pT37T46	0.67346
AGID00443	8	9455	Old	4EBP1_pT70	0.30269
AGID00120	985	4937	Old	53BP1	0.058786
AGID00004	13	3661	Old	ACC_pS79	-1.2309
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.221
AGID00408	2372	3658	Set179	AceCS1	-0.985116912360347
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.072743
AGID00404	2367	9189	Set179	ACSL1	-0.532396904773488
AGID02144	2450	PA5-27081	Old	ACVRL1	0.13642
AGID00186	1198	ab88574	Old	ADAR1	-0.90286
AGID00146	1084	4691	Old	AKT	-0.52384
AGID00028	230	9271	Old	AKT_pS473	-0.74612
AGID00170	1154	2965	Old	AKT_pT308	-0.69211
AGID00316	1800	3063	Set179	Akt2	-0.459499522581359
AGID00347	2009	8599	Set179	Akt2_pS474	1.16263433742963
AGID02215	2577	ab195377	Set179	ALKBH5	0.017412760118135
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.0371672185556154
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.669083497357626
AGID00006	39	2532	Old	AMPKALPHA	-0.20249
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.65328
AGID00193	1208	610066	Old	ANNEXIN1	-1.2495
AGID00166	1142	610668	Old	ANNEXINVII	-0.32881
AGID00371	756	1852-1/ab52615	Old	AR	-0.073293
AGID00194	1217	4432	Old	ARAF	0.25455
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.0024204
AGID00260	1053	sc-32761	Old	ARID1A	0.29732
AGID00264	1560	HPA029318	Old	ASNS	0.089755
AGID00276	1612	3415	Set179	Atg3	-0.335420591555981
AGID00309	1775	13507	Set179	Atg4B	0.0810071613034694
AGID00310	1776	12994	Set179	Atg5	-0.330498328700891
AGID00277	1613	8558	Set179	Atg7	-0.722515648357326
AGID00242	1363	2873	Old	ATM	-0.46455
AGID02142	2447	13050	Set179	ATM_pS1981	2.4719356286327
AGID00217	1289	ab14748	Set179	ATP5A	-0.407736607897897
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.17407278728081
AGID02150	2456	13934	Set179	ATR	-0.0912415346066116
AGID00315	1795	ab178407	Set179	ATR_pS428	-0.207100708067308
AGID00268	1569	ab97508	Set179	ATRX	-0.564150540724278
AGID00391	2332	14475	Set179	Aurora-A	0.200589465716579
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	0.314338067122618
AGID02195	2512	MA5-27890	Set179	Aurora-B	0.519729797027181
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	0.204667063370552
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	0.171488478911438
AGID00301	1725	14058	Set179	B7-H3	0.0489248818078402
AGID00302	1726	14572	Set179	B7-H4	-0.165663669453449
AGID00008	63	9291	Old	BAD_pS112	-0.24352
AGID00009	71	1542-1/ab32371	Old	BAK	0.67188
AGID00192	1207	sc-28383	Old	BAP1C4	-0.51194
AGID00010	73	2772	Old	BAX	-0.92237
AGID00433	80	M0887	Old	BCL2	-0.48959
AGID00219	1299	PAB8528	Old	BCL2A1	0.82771
AGID00012	84	1018-1	Old	BCLXL	0.11836
AGID00377	87	sc-10086	Old	BECLIN	1.0214
AGID00011	75	9562	Old	BETACATENIN	-1.7416
AGID00013	88	1008-1/ab32060	Old	BID	0.18883
AGID00180	90	1036-1/ab32158	Old	BIM	-0.67962
AGID00221	1311	610978	Set179	BiP-GRP78	-0.398095610263152
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	-0.0349693494663765
AGID00355	92	1647/ab33899	Old	BRAF	-0.84335
AGID00014	94	2696	Old	BRAF_pS445	-0.59352
AGID00445	761	9012	Old	BRCA2	NA
AGID00266	1567	13440	Old	BRD4	0.028885
AGID00168	1146	2865	Set179	c-Abl_pY412	0.511035803126659
AGID00278	1615	3130	Set179	c-IAP2	0.0316279066465233
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.18464
AGID00429	2407	2679	Set179	Calnexin	-0.792671833914969
AGID00176	1165	9496	Set179	Caspase-8-cleaved	0.212262267903578
AGID00623	111	9665	Old	CASPASE3	-0.084805
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.3561
AGID00118	951	9746	Old	CASPASE8	0.0037296
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.12331
AGID00358	2100	ab76000	Set179	CD134	-0.0673250963042547
AGID00303	1737	826701	Set179	CD171	-0.287255733419501
AGID00410	125	1632-1/ab78237	Old	CD20	0.062149
AGID00220	1308	ab28340	Old	CD26	-0.20178
AGID00191	1206	610467	Set179	CD29	-0.475433738458487
AGID00017	127	M0823	Old	CD31	0.034155
AGID00369	2174	ab108403	Set179	CD38	0.0838670989718396
AGID00359	2104	ab133616	Set179	CD4	-0.445459463916701
AGID00411	1398	3570	Set179	CD44	-0.270280609499082
AGID00237	1352	M070101-2	Set179	CD45	-0.0805936614807372
AGID00115	937	611016	Old	CD49B	-0.13673
AGID02171	2482	91882	Set179	CD86	0.246093922248921
AGID00329	1873	4688	Set179	cdc25C	0.392250159083202
AGID00227	1332	4651	Set179	Cdc42	-0.0719615345976892
AGID00422	2396	3387	Set179	Cdc6	-0.1439337124122
AGID00501	1007	9112	Old	CDK1	0.30135
AGID00293	1658	ab32384	Set179	CDK1_pT14	-0.0344761702987864
AGID00314	1783	4539	Old	CDK1_pY15	0.69552
AGID00423	2397	8064	Set179	CDT1	0.449046730864059
AGID02101	2348	15102	Set179	cGAS	0.134671695519257
AGID00447	2410	13460	Set179	CHD1L	0.364127227335481
AGID00189	1203	2360	Old	CHK1	-0.12454
AGID00234	1348	ab79758	Old	CHK1_pS296	0.52503
AGID00107	903	2348	Old	CHK1_pS345	0.2797
AGID00018	146	3440	Old	CHK2	0.50609
AGID00019	147	2197	Old	CHK2_pT68	1.3341
AGID00527	2078	4952	Old	CIAP	0.17799
AGID00350	2018	3793	Set179	CIITA	0.171974916354218
AGID00434	155	9164	Old	CJUN_pS73	0.14271
AGID00020	157	1522-1/ab32363	Old	CKIT	3.9327
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.92409
AGID00466	726	3127	Old	CMET	0.060918
AGID00079	727	3129	Old	CMET_pY1235	0.33148
AGID00167	161	9402	Old	CMYC	0.42992
AGID00292	1656	11130-1-AP	Old	COG3	-0.34137
AGID00021	171	sc-20649	Old	COLLAGENVI	0.011369
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set179	Connexin-43	0.818110230964096
AGID00269	1571	6434	Set179	Coup-TFII	-0.346833014312879
AGID00150	1116	4850	Set179	Cox-IV	-1.21002498766317
AGID00195	1218	4842	Set179	Cox2	-0.0991730602734959
AGID00188	803	05-739	Old	CRAF	-0.00015872
AGID00022	179	9427	Old	CRAF_pS338	0.8378
AGID00023	181	9197	Set179	Creb	0.0855314166614861
AGID00393	2334	9198	Set179	CREB_pS133	-0.358217250012114
AGID00365	2155	4980	Set179	CSK	-0.079548103735654
AGID00367	2160	9201	Set179	CtIP	0.403648564812944
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set179	Cyclin-D3	-0.152935078809816
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	0.96154
AGID00382	194	sc-718	Old	CYCLIND1	0.53338
AGID00437	199	sc-25303	Old	CYCLINE1	-0.95163
AGID00449	202	1142-1	Old	CYCLINE2	-0.18232
AGID00209	1257	ab110324	Set179	Cyclophilin-F	-1.25944588721368
AGID00247	1379	ab48389	Set179	D-a-Tubulin	0.089594930801635
AGID00308	1770	GTX10524	Set179	DAPK1_pS308	0.401054264852717
AGID00304	1744	ab51601	Set179	DAPK2	0.547390260028842
AGID00343	1980	6998	Set179	DDB-1	-0.215949646143699
AGID00427	2402	5583	Set179	DDR1	-0.830631655877862
AGID00428	2403	SAB4504671	Set179	DDR1_pY513	0.210351880046628
AGID00532	1273	Bast Lab	Old	DIRAS3	0.048961
AGID00104	891	ab76008	Old	DJ1	-0.86208
AGID02146	2452	4658	Set179	DM-Histone-H3	0.0964123478842371
AGID00386	1397	ab32521	Set179	DM-K9-Histone-H3	-0.222870572725261
AGID00352	2030	14649	Set179	DNA-Ligase-IV	-0.209174984253337
AGID00407	2371	13609	Set179	DNA_POLG	-0.148743302284562
AGID00399	2344	5032	Set179	DNMT1	-0.360449425133178
AGID00409	2373	5391	Set179	DRP1	0.127452396311892
AGID00253	1406	5149	Old	DUSP4	-0.48697
AGID00334	1936	ab76310	Set179	DUSP6	-0.0606235761592487
AGID00116	940	3218	Old	DVL3	-0.07848
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-3.0805
AGID00135	1060	2332	Old	EEF2	-0.56422
AGID00136	1061	3692	Old	EEF2K	-0.23674
AGID00152	1120	2232	Old	EGFR	0.71603
AGID00450	217	2234	Old	EGFR_pY1068	-0.11776
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.44644
AGID00078	722	9742	Old	EIF4E	-0.17171
AGID00328	1871	ab76256	Set179	eIF4E_pS209	0.0616755574061682
AGID00154	1124	2498	Old	EIF4G	0.1503
AGID00027	228	9181	Set179	Elk1_pS383	0.00421998306899133
AGID00235	1350	M061329-2	Set179	EMA	-4.34105534344188
AGID00394	2337	3810	Set179	Enolase-1	-0.22469061538739
AGID00395	2338	8171	Set179	Enolase-2	-0.168927999279538
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set179	EphA2	0.397498598524242
AGID00552	2422	6347	Set179	EphA2_pS897	0.121604777942075
AGID00553	2423	12677	Set179	EphA2_pY588	0.117711868646898
AGID00075	693	556347	Old	EPPK1	-2.9049
AGID00335	238	RM-9101	Old	ERALPHA	-1.4525
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.31387
AGID00240	247	MS-671	Old	ERCC1	-0.57313
AGID00239	1355	11331-1-AP	Old	ERCC5	-0.1699
AGID00484	249	sc-154	Old	ERK2	-0.74135
AGID00372	2193	3552	Set179	Erk5	-0.331799980955471
AGID00405	2369	13826	Set179	ERRalpha	-0.181905867987083
AGID00187	1200	A303-501A	Old	ETS1	-0.015676
AGID00511	2492	2593	Set179	EVI1	-0.146982697080225
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set179	FAK	-0.928346314673425
AGID02151	2457	8556	Set179	FAK_pY397	0.673695244263152
AGID00171	1156	3180	Old	FASN	-1.269
AGID00356	2085	500-P18/10775-082	Set179	FGF-basic	0.434732606520729
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	-0.20889
AGID00339	1959	4403	Set179	FN14	-0.0525442943486154
AGID02152	2458	20459	Old	FOXM1	1.1356
AGID00378	269	9467	Old	FOXO3A	0.062391
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.18849
AGID02167	2475	PA5-64616	Set179	FRS2-alpha_pY196	-0.0373906304640635
AGID02213	2575	ab124892	Set179	FTO	-0.408072419051009
AGID02141	2446	12263	Old	G6PD	-0.49344
AGID00117	943	3239	Old	GAB2	1.0725
AGID00412	274	AM4300	Old	GAPDH	-1.798
AGID00086	764	558686	Old	GATA3	-0.20333
AGID00383	1578	4253	Old	GATA6	NA
AGID00289	1634	12601-1-AP	Set179	GCLC	0.786977460216233
AGID00305	1745	ab124827	Set179	GCLM	-0.0323039681885447
AGID00212	1263	3305	Old	GCN5L2	NA
AGID00270	1579	3538	Set179	Gli1	0.582529060057791
AGID00263	1520	ab69838	Set179	Gli3	0.33716650279286
AGID00548	2530	3660	Set179	Glucocorticoid-Receptor	-0.0056196048978712
AGID00387	1617	12793	Set179	Glutamate-D1-2	-1.08493997240949
AGID00262	1491	ab156876	Set179	Glutaminase	-0.114378551805071
AGID00319	1807	4275	Set179	Granzyme-B	-0.284580033465671
AGID00368	2169	ab183737	Set179	GRB7	0.175971083983708
AGID00396	2339	3593	Set179	Grp75	-0.343047176722641
AGID00174	1163	9315	Set179	GSK-3B	-1.47678853939278
AGID00502	1082	9336	Old	GSK3_pS9	-0.57797
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	-0.81916
AGID00034	285	9331	Old	GSK3ALPHABETA_pS21S9	-0.33151
AGID00129	1035	3886	Old	GYS	NA
AGID00130	1036	3891	Old	GYS_pS641	NA
AGID01354	1342	9718	Set179	H2AX_pS139	-0.0861682475960699
AGID00363	1409	MA1-2022	Set179	H2AX_pS140	0.137708928468946
AGID00131	1038	MS-325-P1	Old	HER2	-1.0341
AGID00142	299	06-229	Old	HER2_pY1248	0.39102
AGID00110	911	sc-285	Old	HER3	-0.66802
AGID00080	728	4791	Old	HER3_pY1289	0.47938
AGID00103	890	2573	Old	HEREGULIN	0.40423
AGID00271	1582	11988	Set179	HES1	-1.0198262504237
AGID00397	2340	2024	Set179	Hexokinase-I	-0.593616877249303
AGID00442	1023	2867	Set179	Hexokinase-II	-0.694491177961404
AGID00419	1402	610958	Old	HIF1ALPHA	NA
AGID00205	1250	ab1791	Set179	Histone-H3	-1.62952815749618
AGID00398	2341	3377	Set179	Histone-H3_pS10	0.909998702941511
AGID00332	1901	ab128959	Set179	HLA-DQA1	-1.31945459843466
AGID00333	1902	14832-1-AP	Set179	HMHA1	-0.364647458918479
AGID00035	321	2402	Set179	HSP27	0.0840234106060457
AGID00036	323	2401	Set179	HSP27_pS82	-1.27133563613734
AGID00320	1808	12165	Set179	HSP60	0.167968479749607
AGID00037	325	4872	Old	HSP70	0.81908
AGID00366	2158	86630	Set179	IDO	-0.129194524984764
AGID00197	1221	3024	Old	IGF1R_pY1135Y1136	0.31191
AGID00038	335	3922	Old	IGFBP2	0.081001
AGID00090	793	611504	Set179	IGFBP3	0.00819550697873691
AGID00039	336	3027	Set179	IGFRb	-0.712543722570402
AGID00336	1949	12153	Set179	IL-6	0.703507162719048
AGID02221	2583	57145	Set179	IMP3	-0.0302895016947483
AGID02153	2459	14543	Old	INPP4B	-1.4218
AGID00272	1586	3025	Set179	IR-b	-0.885307301300361
AGID00519	2519	4302	Set179	IRF-3	0.0703435388946315
AGID00520	2520	4947	Set179	IRF-3_pS396	0.268350315880551
AGID00223	1316	sc-497	Old	IRF1	0.59157
AGID00092	802	06-248	Old	IRS1	0.66943
AGID00040	371	4502	Set179	IRS2	0.105530998077693
AGID00250	1394	sc-13157	Old	JAB1	-0.22132
AGID00256	1413	ab109536	Set179	Jagged1	-0.399418391072916
AGID00177	1166	3230	Old	JAK2	-0.19194
AGID00758	377	4671	Old	JNK_pT183Y185	0.21223
AGID02136	2439	PA5-28262	Old	JNK2	-0.51136
AGID00307	1757	ab10484	Set179	KAP1	0.312926061090908
AGID00528	904	2180	Old	KU80	0.54092
AGID00375	2237	HPA028732	Set179	LAD1	0.0778820549312532
AGID00290	1643	IHC-00439	Set179	Lasu1	0.558735829413767
AGID00279	1618	4108	Set179	LC3A-B	-0.235742963070339
AGID00042	397	2752	Old	LCK	0.45084
AGID00119	976	3582	Old	LDHA	NA
AGID00533	977	ab85319	Old	LDHB	NA
AGID00529	1477	3050	Old	LKB1	0.21291
AGID00244	1367	2568	Set179	LRP6_pS1490	0.290493199551337
