AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.069768
AGID00111	913	sc-23957	Old	1433EPSILON	0.30741
AGID00101	883	sc-1019	Old	1433ZETA	-0.85572
AGID00001	2	9452	Old	4EBP1	-0.45312
AGID00002	3	9456	Old	4EBP1_pS65	0.10438
AGID00003	6	9459	Old	4EBP1_pT37T46	1.2108
AGID00443	8	9455	Old	4EBP1_pT70	-0.047034
AGID00120	985	4937	Old	53BP1	-0.67841
AGID00004	13	3661	Old	ACC_pS79	-0.70733
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.3271
AGID00408	2372	3658	Set166	AceCS1	-0.89902110802645
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	3.6226
AGID00404	2367	9189	Set166	ACSL1	-0.261818895795936
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.18978
AGID00186	1198	ab88574	Old	ADAR1	-0.64099
AGID00146	1084	4691	Old	AKT	-0.089922
AGID00028	230	9271	Old	AKT_pS473	0.88798
AGID00170	1154	2965	Old	AKT_pT308	1.0734
AGID00316	1800	3063	Set166	Akt2	-0.531594232749373
AGID00347	2009	8599	Set166	Akt2_pS474	1.07987357651193
AGID02215	2577	ab195377	Set166	ALKBH5	-0.437352089696918
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set166	Ambra1_pS52	0.0701026715940836
AGID00236	1351	ab129081	Set166	AMPK-a2_pS345	0.457761479196719
AGID00006	39	2532	Old	AMPKALPHA	-0.26322
AGID00007	40	2535	Old	AMPKALPHA_pT172	-1.1054
AGID00193	1208	610066	Old	ANNEXIN1	-0.68025
AGID00166	1142	610668	Old	ANNEXINVII	-0.095357
AGID00371	756	1852-1/ab52615	Old	AR	-0.38791
AGID00194	1217	4432	Old	ARAF	-0.20439
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.052362
AGID00260	1053	sc-32761	Old	ARID1A	-0.15548
AGID00264	1560	HPA029318	Old	ASNS	0.18057
AGID00276	1612	3415	Set166	Atg3	0.12111749926796
AGID00309	1775	13507	Set166	Atg4B	0.592777372862474
AGID00310	1776	12994	Set166	Atg5	-0.344299455156041
AGID00277	1613	8558	Set166	Atg7	-0.116348025927027
AGID00242	1363	2873	Old	ATM	-0.54854
AGID02142	2447	13050	Set166	ATM_pS1981	2.12923073587495
AGID00217	1289	ab14748	Set166	ATP5A	-0.0269751196963823
AGID02145	2451	PA5-43776	Set166	ATP5H	-0.323712283943091
AGID02150	2456	13934	Set166	ATR	0.0773371054974943
AGID00315	1795	ab178407	Set166	ATR_pS428	0.0779604763911773
AGID00268	1569	ab97508	Set166	ATRX	-0.898415301682638
AGID00391	2332	14475	Set166	Aurora-A	-0.266888440514987
AGID00392	2333	2914	Set166	Aurora-ABC_pT288_pT232_pT198	0.0834438695900749
AGID02195	2512	MA5-27890	Set166	Aurora-B	-0.592370633639152
AGID00215	1271	8661	Old	AXL	0.17064
AGID02143	2449	8457	Set166	b-Actin	-0.273535278798006
AGID00179	1170	9565	Set166	b-Catenin_pT41_S45	-0.257110374429159
AGID00301	1725	14058	Set166	B7-H3	-0.0201533861363766
AGID00302	1726	14572	Set166	B7-H4	-0.107044835931653
AGID00008	63	9291	Old	BAD_pS112	-0.22277
AGID00009	71	1542-1/ab32371	Old	BAK	-0.20274
AGID00192	1207	sc-28383	Old	BAP1C4	-0.3322
AGID00010	73	2772	Old	BAX	-0.005942
AGID00433	80	M0887	Old	BCL2	0.027679
AGID00219	1299	PAB8528	Old	BCL2A1	0.37563
AGID00012	84	1018-1	Old	BCLXL	-0.049031
AGID00377	87	sc-10086	Old	BECLIN	0.13057
AGID00011	75	9562	Old	BETACATENIN	0.28924
AGID00013	88	1008-1/ab32060	Old	BID	0.068852
AGID00180	90	1036-1/ab32158	Old	BIM	-0.48766
AGID00221	1311	610978	Set166	BiP-GRP78	-0.208077072338801
AGID00373	2194	07-507	Set166	BMK1-Erk5_pT218_Y220	0.0354492337826798
AGID00355	92	1647/ab33899	Old	BRAF	0.67383
AGID00014	94	2696	Old	BRAF_pS445	0.38242
AGID00445	761	9012	Old	BRCA2	-0.33525
AGID00266	1567	13440	Old	BRD4	-1.4958
AGID00168	1146	2865	Set166	c-Abl_pY412	0.474608587221024
AGID00278	1615	3130	Set166	c-IAP2	-0.303557276666331
AGID00345	1990	5649	Old	CA9	NA
