AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.35193
AGID00111	913	sc-23957	Old	1433EPSILON	0.03352
AGID00101	883	sc-1019	Old	1433ZETA	-0.066978
AGID00001	2	9452	Old	4EBP1	-0.08888
AGID00002	3	9456	Old	4EBP1_pS65	-0.18621
AGID00003	6	9459	Old	4EBP1_pT37T46	0.34148
AGID00443	8	9455	Old	4EBP1_pT70	-0.10128
AGID00120	985	4937	Old	53BP1	-0.09737
AGID00004	13	3661	Old	ACC_pS79	-0.60826
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.82642
AGID00408	2372	3658	Set164	AceCS1	-0.79901159246956
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	1.1076
AGID00404	2367	9189	Set164	ACSL1	-0.541854999056136
AGID02144	2450	PA5-27081	Old	ACVRL1	0.018517
AGID00186	1198	ab88574	Old	ADAR1	-0.021518
AGID00146	1084	4691	Old	AKT	-0.038486
AGID00028	230	9271	Old	AKT_pS473	0.56462
AGID00170	1154	2965	Old	AKT_pT308	-0.0019405
AGID00316	1800	3063	Set164	Akt2	0.0895417950824729
AGID00347	2009	8599	Set164	Akt2_pS474	1.41216300701504
AGID02215	2577	ab195377	Set164	ALKBH5	0.405118193909772
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set164	Ambra1_pS52	0.0974832079451602
AGID00236	1351	ab129081	Set164	AMPK-a2_pS345	-0.328974981823265
AGID00006	39	2532	Old	AMPKALPHA	-0.11671
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.3676
AGID00193	1208	610066	Old	ANNEXIN1	0.40727
AGID00166	1142	610668	Old	ANNEXINVII	-0.14557
AGID00371	756	1852-1/ab52615	Old	AR	0.42711
AGID00194	1217	4432	Old	ARAF	0.020112
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.052627
AGID00260	1053	sc-32761	Old	ARID1A	0.26456
AGID00264	1560	HPA029318	Old	ASNS	0.19008
AGID00276	1612	3415	Set164	Atg3	-0.203282807764642
AGID00309	1775	13507	Set164	Atg4B	-0.0410504745242542
AGID00310	1776	12994	Set164	Atg5	-1.22571805470933
AGID00277	1613	8558	Set164	Atg7	-0.292666435155804
AGID00242	1363	2873	Old	ATM	-0.049371
AGID02142	2447	13050	Set164	ATM_pS1981	2.66959905450575
AGID00217	1289	ab14748	Set164	ATP5A	-0.231370327751324
AGID02145	2451	PA5-43776	Set164	ATP5H	-0.254199334341888
AGID02150	2456	13934	Set164	ATR	0.22079843808517
AGID00315	1795	ab178407	Set164	ATR_pS428	-0.0738526336349053
AGID00268	1569	ab97508	Set164	ATRX	-0.566533658819194
AGID00391	2332	14475	Set164	Aurora-A	-0.173993555264856
AGID00392	2333	2914	Set164	Aurora-ABC_pT288_pT232_pT198	0.156506043275146
AGID02195	2512	MA5-27890	Set164	Aurora-B	-0.309180768533441
AGID00215	1271	8661	Old	AXL	-0.29233
AGID02143	2449	8457	Set164	b-Actin	-0.492734528298927
AGID00179	1170	9565	Set164	b-Catenin_pT41_S45	-0.573881610611863
AGID00301	1725	14058	Set164	B7-H3	-0.808988512065088
AGID00302	1726	14572	Set164	B7-H4	0.0189343805776527
AGID00008	63	9291	Old	BAD_pS112	0.16771
AGID00009	71	1542-1/ab32371	Old	BAK	-0.24896
AGID00192	1207	sc-28383	Old	BAP1C4	-0.031864
AGID00010	73	2772	Old	BAX	-0.25885
AGID00433	80	M0887	Old	BCL2	-0.019864
AGID00219	1299	PAB8528	Old	BCL2A1	0.30502
AGID00012	84	1018-1	Old	BCLXL	-0.11209
AGID00377	87	sc-10086	Old	BECLIN	-0.031971
AGID00011	75	9562	Old	BETACATENIN	0.49502
AGID00013	88	1008-1/ab32060	Old	BID	0.34935
