AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.06872
AGID00111	913	sc-23957	Old	1433EPSILON	-0.0051112
AGID00101	883	sc-1019	Old	1433ZETA	0.1434
AGID00001	2	9452	Old	4EBP1	0.14659
AGID00002	3	9456	Old	4EBP1_pS65	0.30683
AGID00003	6	9459	Old	4EBP1_pT37T46	1.1629
AGID00443	8	9455	Old	4EBP1_pT70	0.088321
AGID00120	985	4937	Old	53BP1	0.33741
AGID00004	13	3661	Old	ACC_pS79	-0.37747
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.41448
AGID00408	2372	3658	Set164	AceCS1	0.29316373858914
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.81367
AGID00404	2367	9189	Set164	ACSL1	-0.47422323100553
AGID02144	2450	PA5-27081	Old	ACVRL1	0.12305
AGID00186	1198	ab88574	Old	ADAR1	0.025783
AGID00146	1084	4691	Old	AKT	-0.29532
AGID00028	230	9271	Old	AKT_pS473	-1.0443
AGID00170	1154	2965	Old	AKT_pT308	-0.70175
AGID00316	1800	3063	Set164	Akt2	-0.497246359118019
AGID00347	2009	8599	Set164	Akt2_pS474	0.450596853625841
AGID02215	2577	ab195377	Set164	ALKBH5	0.117271722170919
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set164	Ambra1_pS52	0.0650251629343789
AGID00236	1351	ab129081	Set164	AMPK-a2_pS345	0.000340827487558364
AGID00006	39	2532	Old	AMPKALPHA	-0.5577
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.46652
AGID00193	1208	610066	Old	ANNEXIN1	-1.2478
AGID00166	1142	610668	Old	ANNEXINVII	-0.15717
AGID00371	756	1852-1/ab52615	Old	AR	2.0851
AGID00194	1217	4432	Old	ARAF	-0.082048
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.36008
AGID00260	1053	sc-32761	Old	ARID1A	0.094707
AGID00264	1560	HPA029318	Old	ASNS	0.83461
AGID00276	1612	3415	Set164	Atg3	-0.0681300463968375
AGID00309	1775	13507	Set164	Atg4B	-0.233075544565709
AGID00310	1776	12994	Set164	Atg5	-0.137808631821767
AGID00277	1613	8558	Set164	Atg7	-0.016155014217378
AGID00242	1363	2873	Old	ATM	0.1982
AGID02142	2447	13050	Set164	ATM_pS1981	1.74014163560815
AGID00217	1289	ab14748	Set164	ATP5A	-0.125228771204032
AGID02145	2451	PA5-43776	Set164	ATP5H	-0.40651224120077
AGID02150	2456	13934	Set164	ATR	-0.19067431825649
AGID00315	1795	ab178407	Set164	ATR_pS428	0.191169551452255
AGID00268	1569	ab97508	Set164	ATRX	0.594064149654467
AGID00391	2332	14475	Set164	Aurora-A	-0.0766730648346668
AGID00392	2333	2914	Set164	Aurora-ABC_pT288_pT232_pT198	0.204627816847746
AGID02195	2512	MA5-27890	Set164	Aurora-B	-0.22163730682634
AGID00215	1271	8661	Old	AXL	0.3173
AGID02143	2449	8457	Set164	b-Actin	-0.530646927072533
AGID00179	1170	9565	Set164	b-Catenin_pT41_S45	-0.414089484763704
AGID00301	1725	14058	Set164	B7-H3	0.468074361746852
AGID00302	1726	14572	Set164	B7-H4	-0.0959903487357839
AGID00008	63	9291	Old	BAD_pS112	0.18318
AGID00009	71	1542-1/ab32371	Old	BAK	-0.39738
AGID00192	1207	sc-28383	Old	BAP1C4	0.26641
AGID00010	73	2772	Old	BAX	-0.34368
AGID00433	80	M0887	Old	BCL2	-0.67981
AGID00219	1299	PAB8528	Old	BCL2A1	-0.033033
AGID00012	84	1018-1	Old	BCLXL	-0.17696
AGID00377	87	sc-10086	Old	BECLIN	0.066312
AGID00011	75	9562	Old	BETACATENIN	0.78972
AGID00013	88	1008-1/ab32060	Old	BID	-0.10616
AGID00180	90	1036-1/ab32158	Old	BIM	-0.11428
AGID00221	1311	610978	Set164	BiP-GRP78	-0.102492116653954
AGID00373	2194	07-507	Set164	BMK1-Erk5_pT218_Y220	0.337252564757031
AGID00355	92	1647/ab33899	Old	BRAF	-0.022032
AGID00014	94	2696	Old	BRAF_pS445	-0.13109
AGID00445	761	9012	Old	BRCA2	-0.28111
AGID00266	1567	13440	Old	BRD4	0.66921
AGID00168	1146	2865	Set164	c-Abl_pY412	-0.00986762836049793
AGID00278	1615	3130	Set164	c-IAP2	-0.399988611199576
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.26228
AGID00429	2407	2679	Set164	Calnexin	-0.113126769386933
AGID00176	1165	9496	Set164	Caspase-8-cleaved	-0.367477816624701
AGID00623	111	9665	Old	CASPASE3	0.0068464
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.75118
AGID00118	951	9746	Old	CASPASE8	-0.0020705
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-0.25046
AGID00358	2100	ab76000	Set164	CD134	-0.162718759322151
AGID00303	1737	826701	Set164	CD171	1.22405372770599
AGID00410	125	1632-1/ab78237	Old	CD20	-0.14866
AGID00220	1308	ab28340	Old	CD26	-0.011248
AGID00191	1206	610467	Set164	CD29	0.0593949819091036
AGID00017	127	M0823	Old	CD31	0.14425
AGID00369	2174	ab108403	Set164	CD38	-0.126638220281202
AGID00359	2104	ab133616	Set164	CD4	-0.36545200457495
AGID00411	1398	3570	Set164	CD44	-0.924028430796605
AGID00237	1352	M070101-2	Set164	CD45	-0.369683374059169
AGID00115	937	611016	Old	CD49B	-0.15546
AGID02171	2482	91882	Set164	CD86	0.349513314735784
AGID00329	1873	4688	Set164	cdc25C	0.15703411109338
AGID00227	1332	4651	Set164	Cdc42	-0.0507174242583932
AGID00422	2396	3387	Set164	Cdc6	-0.152274084040857
AGID00501	1007	9112	Old	CDK1	-0.15677
AGID00293	1658	ab32384	Set164	CDK1_pT14	-0.203167448045439
AGID00314	1783	4539	Old	CDK1_pY15	-0.08645
AGID00423	2397	8064	Set164	CDT1	0.887828214623337
